33user_id,item_id,ui_interaction_score,ui_interaction_score_norm,ui_has_purchased,user_total_events,user_purchase_count,user_purchase_rate,user_avg_spend,user_total_spend,user_distinct_items,user_recency_days,user_tenure_days,user_activity_score_norm,user_preferred_device_enc,user_preferred_category_enc,item_total_interactions,item_purchase_count,item_conversion_rate,item_avg_rating,item_popularity_score_norm,item_avg_sentiment,item_price_log,item_stock_norm,item_category_enc,item_brand_enc,item_trend_score_norm,item_return_rate
USER_0102,ITEM_0161,1,0.0,0,21,8,0.3809523809523809,9106.61375,72852.91,20,90,153,0.5,0,6,20.0,3.0,0.15,1.4,0.8219617272818355,-0.6906,5.887602907573892,0.16,4.0,1.0,0.5585351210726436,0.1
USER_0084,ITEM_0443,2,0.1111111111111111,0,30,7,0.2333333333333333,8250.834285714285,57755.84,29,109,172,0.5606060606060606,0,7,7.0,3.0,0.4285714285714285,1.9,0.556757839895802,-0.3407,7.999574547242645,0.3,4.0,6.0,0.702421452871723,0.188
USER_0094,ITEM_0179,2,0.1111111111111111,0,19,2,0.1052631578947368,1803.61,3607.22,18,11,142,0.0151515151515151,2,5,8.0,2.0,0.25,3.3,0.780282536819958,0.9403,7.659807957452608,0.592,6.0,7.0,0.346407844706824,0.252
USER_0107,ITEM_0092,1,0.0,0,21,9,0.4285714285714285,10797.223333333335,97175.01,21,14,173,0.5757575757575758,2,6,5.0,2.0,0.4,4.1,0.2204187957118525,0.6593,8.051809274846779,0.52,5.0,1.0,0.3737242345407244,0.188
USER_0089,ITEM_0359,2,0.1111111111111111,0,21,5,0.238095238095238,6564.122,32820.61,20,65,164,0.2727272727272727,1,6,,,,,,,,,,,,
USER_0091,ITEM_0128,2,0.1111111111111111,0,21,4,0.1904761904761904,7454.065,29816.26,21,24,169,0.1969696969696969,0,7,15.0,1.0,0.0666666666666666,3.4,0.2975653742110009,-0.5483,8.443744694068888,0.68,0.0,7.0,0.666499899939964,0.054
USER_0101,ITEM_0029,2,0.1111111111111111,0,18,2,0.1111111111111111,7824.705,15649.41,18,322,154,0.0,1,6,8.0,2.0,0.25,4.2,0.5624686905119728,0.6272,8.351938759134123,0.794,3.0,1.0,0.6311787072243346,0.257
USER_0091,ITEM_0100,1,0.0,0,21,4,0.1904761904761904,7454.065,29816.26,21,24,169,0.1969696969696969,0,7,11.0,3.0,0.2727272727272727,3.3,0.6086564472497746,0.4103,8.367469697124955,0.438,2.0,0.0,0.6867120272163297,0.258
USER_0182,ITEM_0499,5,0.4444444444444444,0,17,6,0.3529411764705882,11266.086666666664,67596.51999999999,17,19,171,0.2878787878787879,0,6,9.0,2.0,0.2222222222222222,4.3,0.1733293257188658,-0.6689,7.757970308861368,0.966,0.0,4.0,0.4390634380628377,0.031
USER_0154,ITEM_0189,2,0.1111111111111111,0,23,6,0.2608695652173913,3655.238333333333,21931.43,23,21,167,0.3787878787878788,1,0,7.0,3.0,0.4285714285714285,3.0,0.4833183047790803,-0.9257,6.862653305069717,0.052,5.0,1.0,0.1350810486291775,0.035
USER_0047,ITEM_0296,1,0.0,0,29,10,0.3448275862068966,10863.581,108635.81,29,8,168,0.7727272727272727,1,0,8.0,4.0,0.5,3.2,0.1853521691213305,-0.6788,7.923380808284074,0.172,7.0,5.0,0.5300180108064839,0.059
USER_0087,ITEM_0357,3,0.2222222222222222,0,21,14,0.6666666666666666,5355.1221428571425,74971.70999999999,21,18,175,0.9545454545454546,2,4,7.0,4.0,0.5714285714285714,4.9,0.9642320408776676,-0.9792,8.47905509202514,0.676,5.0,1.0,0.2545527316389834,0.262
USER_0034,ITEM_0234,1,0.0,0,22,12,0.5454545454545454,8074.927499999999,96899.13,22,38,135,0.8181818181818182,2,4,6.0,3.0,0.5,4.9,0.5200881675182848,0.3796,8.125042057694921,0.588,3.0,1.0,0.3484090454272563,0.033
USER_0152,ITEM_0237,2,0.1111111111111111,0,28,5,0.1785714285714285,13124.109999999995,65620.54999999999,28,111,139,0.3787878787878788,1,5,5.0,3.0,0.6,2.4,0.7494239054202986,-0.422,8.401128927824525,0.466,1.0,6.0,0.3190914548729238,0.023
USER_0146,ITEM_0232,2,0.1111111111111111,0,20,6,0.3,7390.475000000001,44342.850000000006,20,19,146,0.3333333333333333,1,1,11.0,2.0,0.1818181818181818,2.3,0.8715559563170023,-0.8119,6.839487144809643,0.058,2.0,5.0,0.1703021813087852,0.027
USER_0139,ITEM_0310,3,0.2222222222222222,0,17,3,0.1764705882352941,6386.406666666667,19159.22,16,16,167,0.0606060606060606,0,2,13.0,3.0,0.2307692307692307,2.3,0.5793006712754234,0.4892,8.367381418237954,0.544,3.0,7.0,0.3401040624374625,0.108
USER_0154,ITEM_0234,1,0.0,0,23,6,0.2608695652173913,3655.238333333333,21931.43,23,21,167,0.3787878787878788,1,0,6.0,3.0,0.5,4.9,0.5200881675182848,0.3796,8.125042057694921,0.588,3.0,1.0,0.3484090454272563,0.033
USER_0088,ITEM_0141,1,0.0,0,18,6,0.3333333333333333,9462.813333333332,56776.87999999999,18,5,161,0.303030303030303,0,0,18.0,0.0,0.0,4.9,0.8342851417693617,-0.991,7.774670875624645,0.508,1.0,6.0,0.5905543325995598,0.135
USER_0158,ITEM_0455,2,0.1111111111111111,0,34,6,0.1764705882352941,10833.078333333331,64998.47,34,20,175,0.5454545454545454,1,6,13.0,3.0,0.2307692307692307,3.1,0.9925859132351468,0.4877,7.123447135251197,0.884,3.0,7.0,0.3469081448869321,0.026
USER_0063,ITEM_0027,3,0.2222222222222222,1,28,5,0.1785714285714285,5306.12,26530.6,28,114,143,0.3787878787878788,2,6,8.0,5.0,0.625,3.7,0.5658751628093377,-0.0354,6.150965176116234,0.076,2.0,3.0,0.7260356213728236,0.073
